feature,importance
perclos_10s,0.15013604799023778
ear_mean_10s,0.08138389267343937
perclos_5s,0.06483352348981905
ear_std_5s,0.05620289851002591
yaw_mean_10s,0.05085449672829977
pitch_mean_10s,0.040261734361886015
ear_mean_5s,0.03651971351407597
mar_mean_10s,0.03383150421098613
abs_delta_yaw_mean_10s,0.03275374381980479
roll_mean_10s,0.029613553207510995
mar_std_5s,0.026894361192485547
pitch_mean_5s,0.023677949690207395
mar_diff,0.021871893121418153
abs_delta_pitch_mean_10s,0.020736804565275622
mar_mean_5s,0.020444075767973507
roll_mean_5s,0.02021847321558912
yaw_mean_5s,0.02010761617592554
mar_ratio,0.019067589270890337
abs_delta_yaw_mean_5s,0.017988344430125057
abs_delta_pitch_mean_5s,0.015573191486745228
ear_mean_1s,0.014078947901757236
blink_count_5s,0.013706452747133793
blink_rate_5s,0.011886287646971095
baseline_mar,0.011409856561414708
baseline_ear,0.01100405417854754
yaw_mean_1s,0.010815059401297922
baseline_pitch,0.009889396936807968
pitch_mean_1s,0.009868884051226271
roll_mean_1s,0.009538809476987051
yaw,0.009331347587150632
mar_mean_1s,0.00932462702089753
baseline_yaw,0.009088291493979094
baseline_roll,0.008271898909453648
abs_delta_pitch_mean_1s,0.00788863839970093
delta_roll,0.007683970238026564
roll,0.007679543336752027
mar,0.006252048258949276
ear_diff,0.006100494086653375
abs_delta_yaw_mean_1s,0.006032286891503687
pitch,0.005822597646014114
ear_ratio,0.005709247109012405
delta_yaw,0.00567728735911745
delta_pitch,0.00565485215109577
ear,0.004818078115003752
abs_delta_pitch,0.003758889468750235
abs_delta_yaw,0.0033917581057476965
eye_closed,0.0009591727689841979
yaw_velocity,0.0005322933926788279
pitch_velocity,0.00041942394519088664
ear_velocity,0.0004153936790156349
blink_start,1.8703711457280435e-05
