feature,importance
perclos_10s,0.1490731036320016
ear_mean_10s,0.07936239872535938
perclos_5s,0.0667911626326154
ear_std_5s,0.05689664700133069
yaw_mean_10s,0.05217539584970048
pitch_mean_10s,0.04141090080046064
ear_mean_5s,0.037759235352599924
mar_mean_10s,0.03651816913133716
abs_delta_yaw_mean_10s,0.031209866349739965
roll_mean_10s,0.02941188936532628
mar_std_5s,0.027119329285261083
pitch_mean_5s,0.024179531704096882
roll_mean_5s,0.022418548317372274
mar_diff,0.021752172343142185
mar_mean_5s,0.02082206997699683
abs_delta_pitch_mean_10s,0.02003683118310526
yaw_mean_5s,0.019547549723291893
abs_delta_yaw_mean_5s,0.019223777588437237
mar_ratio,0.016934488505472564
ear_mean_1s,0.014611667251692977
abs_delta_pitch_mean_5s,0.014289749390131735
blink_count_5s,0.013308022485664395
blink_rate_5s,0.01218720846231104
baseline_mar,0.012183098423473846
yaw_mean_1s,0.010332475116584331
mar_mean_1s,0.01014027013677177
baseline_pitch,0.010016522650952417
baseline_ear,0.009704596696298758
roll_mean_1s,0.009679805850600754
pitch_mean_1s,0.008932754537645306
baseline_roll,0.008565522324848397
yaw,0.008506113292948838
abs_delta_pitch_mean_1s,0.008289087883352262
baseline_yaw,0.007797277146637251
delta_roll,0.006839765609607573
delta_pitch,0.006556151435789953
mar,0.006525505324219686
roll,0.006166363500546899
abs_delta_yaw_mean_1s,0.006157451196713592
ear_ratio,0.006001788061671544
pitch,0.005703585662308059
delta_yaw,0.005531476048857107
ear_diff,0.0054134452006989135
ear,0.00530814133806371
abs_delta_pitch,0.003694892711341357
abs_delta_yaw,0.0027649754917026866
eye_closed,0.0014168454264364989
yaw_velocity,0.00030529676205338826
ear_velocity,0.0002193270045566384
pitch_velocity,0.00020270978050009638
blink_start,5.040327370446428e-06
