feature,importance
perclos_10s,0.18133016
mar_diff,0.07577069
perclos_5s,0.06668546
baseline_roll,0.054810844
mar_ratio,0.03358194
yaw_mean_10s,0.032368235
pitch_mean_10s,0.028250173
roll_mean_10s,0.027582586
mar_std_5s,0.02755234
abs_delta_yaw_mean_10s,0.027275145
ear_mean_10s,0.027065082
baseline_mar,0.025832277
abs_delta_yaw_mean_5s,0.023479007
mar_mean_5s,0.022790266
baseline_ear,0.021047657
baseline_pitch,0.020252826
abs_delta_pitch_mean_10s,0.020196311
ear_std_5s,0.020087864
mar_mean_10s,0.019322935
baseline_yaw,0.019218594
roll_mean_5s,0.018395122
abs_delta_pitch_mean_5s,0.017211448
roll_mean_1s,0.0138216
yaw_mean_5s,0.013194938
pitch_mean_5s,0.012340648
ear_mean_5s,0.012255468
mar_mean_1s,0.011930856
yaw,0.011155018
abs_delta_pitch_mean_1s,0.009994953
mar,0.009982625
delta_pitch,0.009877794
blink_count_5s,0.009803453
yaw_mean_1s,0.00904375
abs_delta_pitch,0.007834758
delta_roll,0.007828767
ear,0.0067839
roll,0.0065511726
delta_yaw,0.006399719
ear_diff,0.005868623
blink_rate_5s,0.005666002
pitch_mean_1s,0.004583307
abs_delta_yaw_mean_1s,0.004114343
ear_mean_1s,0.0039723795
pitch,0.0027570564
pitch_velocity,0.001160425
ear_ratio,0.00093695475
abs_delta_yaw,0.0008973778
yaw_velocity,0.00072437304
ear_velocity,0.00041280244
eye_closed,0.0
blink_start,0.0
