feature,coefficient,abs_coefficient
ear_mean_10s,-5.094402075708189,5.094402075708189
ear_mean_5s,2.1247710333178715,2.1247710333178715
baseline_ear,1.8215857130984028,1.8215857130984028
abs_delta_pitch_mean_10s,1.6221965384678128,1.6221965384678128
perclos_10s,-1.4754530330572357,1.4754530330572357
baseline_mar,1.1313304839142548,1.1313304839142548
yaw_mean_10s,-1.0774612873387062,1.0774612873387062
baseline_roll,-0.9908949886369419,0.9908949886369419
baseline_pitch,0.9602673108006344,0.9602673108006344
ear_diff,-0.7380660277720316,0.7380660277720316
ear_ratio,0.724722534711349,0.724722534711349
ear_std_5s,0.7022001304576314,0.7022001304576314
perclos_5s,0.6797107855677597,0.6797107855677597
pitch_mean_10s,0.6229710187561989,0.6229710187561989
mar_std_5s,0.5325015495116802,0.5325015495116802
roll_mean_5s,-0.502648108516732,0.502648108516732
roll_mean_10s,0.4804246949595955,0.4804246949595955
mar_mean_5s,-0.4697526387974364,0.4697526387974364
baseline_yaw,0.428180210518788,0.428180210518788
abs_delta_yaw_mean_10s,0.3847225475025798,0.3847225475025798
mar,0.3527101235677722,0.3527101235677722
pitch_mean_5s,0.30875918853453826,0.30875918853453826
abs_delta_pitch_mean_5s,-0.30105523759216857,0.30105523759216857
blink_count_5s,0.248947559443288,0.248947559443288
blink_rate_5s,0.24894755944328145,0.24894755944328145
abs_delta_yaw_mean_5s,-0.23397841800085095,0.23397841800085095
delta_yaw,-0.22893475722992296,0.22893475722992296
eye_closed,0.21752074494476367,0.21752074494476367
mar_diff,-0.19952766244074754,0.19952766244074754
abs_delta_yaw_mean_1s,0.19404407853922973,0.19404407853922973
mar_ratio,-0.1651552923645344,0.1651552923645344
roll_mean_1s,0.16309404729363225,0.16309404729363225
yaw_mean_1s,0.1483328159006132,0.1483328159006132
ear_mean_1s,-0.14571177633924418,0.14571177633924418
ear,0.1351969595089783,0.1351969595089783
mar_mean_10s,0.11666634264825368,0.11666634264825368
abs_delta_pitch,0.10718797543930345,0.10718797543930345
delta_pitch,0.09994313796062419,0.09994313796062419
yaw_mean_5s,-0.09248306388379515,0.09248306388379515
blink_start,-0.07641942330190384,0.07641942330190384
ear_velocity,-0.07124025038980757,0.07124025038980757
mar_mean_1s,-0.07055190130782554,0.07055190130782554
abs_delta_yaw,0.06364606466619242,0.06364606466619242
delta_roll,-0.06272067869363432,0.06272067869363432
yaw,0.04708488703209637,0.04708488703209637
roll,0.04511439133483714,0.04511439133483714
pitch,0.020243186814304065,0.020243186814304065
abs_delta_pitch_mean_1s,0.01691903082676298,0.01691903082676298
yaw_velocity,-0.006735371645113816,0.006735371645113816
pitch_mean_1s,0.00468425243093074,0.00468425243093074
pitch_velocity,0.0032530661327864014,0.0032530661327864014
