feature,importance
perclos_10s,0.1796375
mar_diff,0.07891603
perclos_5s,0.06663436
baseline_roll,0.049574666
mar_std_5s,0.031622097
yaw_mean_10s,0.029927598
ear_mean_10s,0.02879187
mar_ratio,0.028103894
baseline_ear,0.027926845
roll_mean_10s,0.02754871
pitch_mean_10s,0.026800267
abs_delta_yaw_mean_10s,0.02518929
baseline_mar,0.02365778
ear_std_5s,0.021653207
mar_mean_10s,0.021056687
abs_delta_pitch_mean_10s,0.020019434
abs_delta_yaw_mean_5s,0.019757103
abs_delta_pitch_mean_5s,0.019079486
mar_mean_5s,0.017649094
baseline_yaw,0.016743522
baseline_pitch,0.015674263
roll_mean_5s,0.015420413
delta_pitch,0.014401476
pitch_mean_5s,0.014188172
mar,0.013720879
yaw,0.013647301
abs_delta_pitch_mean_1s,0.013591431
yaw_mean_5s,0.012722579
blink_rate_5s,0.012617098
delta_roll,0.01128362
blink_count_5s,0.011107493
ear_mean_5s,0.010291581
roll_mean_1s,0.010271604
mar_mean_1s,0.008409093
delta_yaw,0.008111291
roll,0.007316735
yaw_mean_1s,0.006807639
ear_mean_1s,0.0061573954
abs_delta_pitch,0.005880567
abs_delta_yaw_mean_1s,0.005190102
pitch_mean_1s,0.005096407
ear_diff,0.004614565
ear_ratio,0.0038397848
ear,0.002563739
pitch,0.0025302116
abs_delta_yaw,0.0024231512
yaw_velocity,0.0011349341
ear_velocity,0.00069700286
blink_start,0.0
eye_closed,0.0
pitch_velocity,0.0
